0, 6596, 5908, 5234, 3306, 312, 4985, 91, 3114, 5055, 6176, 3884, 3916, 8534, 8955, 9324, 295, 275
6596, 0, 5750, 305, 472, 7915, 1845, 1699, 5772, 4226, 7095, 2979, 6830, 9717, 4695, 2634, 213, 3124
5908, 5750, 0, 908, 7637, 4539, 8004, 1509, 7120, 6391, 528, 5014, 71, 4142, 6081, 334, 4074, 947
5234, 305, 908, 0, 7639, 2955, 5629, 6309, 2450, 5867, 7496, 4245, 3309, 9486, 5893, 1840, 5411, 1353
3306, 472, 7637, 7639, 0, 3171, 5434, 4498, 2020, 2094, 7380, 8878, 941, 8645, 4771, 8300, 1267, 8462
312, 7915, 4539, 2955, 3171, 0, 9361, 7324, 4889, 4916, 3700, 5119, 7186, 5193, 2260, 5779, 2738, 2487
4985, 1845, 8004, 5629, 5434, 9361, 0, 3423, 534, 389, 3153, 6344, 3205, 9516, 357, 761, 9007, 2274
91, 1699, 1509, 6309, 4498, 7324, 3423, 0, 514, 4176, 9354, 6823, 8584, 3570, 6479, 6393, 789, 80
3114, 5772, 7120, 2450, 2020, 4889, 534, 514, 0, 9647, 6783, 9400, 5630, 1623, 2786, 5029, 7959, 5002
5055, 4226, 6391, 5867, 2094, 4916, 389, 4176, 9647, 0, 5555, 9676, 5526, 3856, 6094, 8045, 886, 5553
6176, 7095, 528, 7496, 7380, 3700, 3153, 9354, 6783, 5555, 0, 3783, 2816, 5502, 5451, 6314, 9147, 4139
3884, 2979, 5014, 4245, 8878, 5119, 6344, 6823, 9400, 9676, 3783, 0, 6790, 1508, 284, 9392, 4773, 6700
3916, 6830, 71, 3309, 941, 7186, 3205, 8584, 5630, 5526, 2816, 6790, 0, 4514, 5070, 375, 2431, 5520
8534, 9717, 4142, 9486, 8645, 5193, 9516, 3570, 1623, 3856, 5502, 1508, 4514, 0, 5978, 7078, 3462, 3572
8955, 4695, 6081, 5893, 4771, 2260, 357, 6479, 2786, 6094, 5451, 284, 5070, 5978, 0, 5269, 3817, 8680
9324, 2634, 334, 1840, 8300, 5779, 761, 6393, 5029, 8045, 6314, 9392, 375, 7078, 5269, 0, 318, 4393
295, 213, 4074, 5411, 1267, 2738, 9007, 789, 7959, 886, 9147, 4773, 2431, 3462, 3817, 318, 0, 2368
275, 3124, 947, 1353, 8462, 2487, 2274, 80, 5002, 5553, 4139, 6700, 5520, 3572, 8680, 4393, 2368, 0
